"logFC" "logCPM" "PValue" "FDR"
"PRKAG2" 1.69772462776293 5.34067083293044 0.000491071022629011 0.106920039720453
"CT45A8" 1.67780244341381 5.51672349140051 0.000533105755666721 0.114824100986668
"PIGA" 1.68657360667282 4.63827480534791 0.000558794337484619 0.119076695469728
"BTBD17" 1.7641485715496 0.269717774186508 0.000584478773433865 0.123238887480566
"PRELID3A" 1.66128181974219 3.85228113906416 0.000592755196238254 0.123682076415088
"VSX1" 1.6765316916857 2.74271481209087 0.000612644033979723 0.126514150975751
"CAPG" 1.65230269765788 6.03061410010324 0.000640957066789793 0.131010316376187
"UGT1A8" 1.66765316194033 4.74163655222582 0.000650403443971513 0.131598296830236
"CEP68" 1.66445834273333 4.83470242798996 0.000664788775170358 0.132463918212023
"SLC30A10" 1.65446692134715 4.3763345220456 0.000669289312980606 0.132463918212023
"RAPGEF2" 1.65016293504781 6.87776686168331 0.000674520476143296 0.132463918212023
"EMX2" 1.63848367490421 6.03409473052424 0.00070816647102895 0.136790919983482
"TCEB3B" 1.63483298714861 3.7143539621653 0.000710211955383265 0.136790919983482
"EHD2" 1.63289784399469 3.79017819691218 0.000724074807436551 0.138132785407253
"IL13RA2" 1.62862133432876 5.74752491716651 0.000747668040705906 0.14128809927717
"CTAGE1" 1.63111169649168 6.98642613409198 0.000773687128765855 0.144838568937466
"HSD11B1L" 1.63984578124796 4.80918928849496 0.000791571619643019 0.145471330007379
"PEMT" 1.63973931772529 4.88839681231712 0.000791591781279235 0.145471330007379
"TIMM8A" 1.61486153047985 5.6763931373997 0.00082340173196356 0.14978899224245
"RGL1" 1.64231647297667 2.3881644383309 0.000830042341316558 0.14978899224245
"PKP3" 1.62507638911501 2.97297991994608 0.000854137930203099 0.152520121188108
"C19orf67" 1.60737689862867 3.58186802087226 0.000860405056874653 0.152520121188108
"MYH1" 1.60472163024134 5.98291135736479 0.000897151654635713 0.157638989421123
"NLRP5" 1.61164079460904 4.3955144332986 0.000910721767639238 0.158631893283318
"ANAPC11" 1.60488999693681 6.59953638782657 0.000927828685729839 0.159037153445987
"RTN4R" 1.59935530955298 5.94165775736681 0.000928927510018496 0.159037153445987
"POU3F2" 1.60436495051462 4.45880585042803 0.000971042476373354 0.163733175435243
"GALK1" 1.59780281574735 6.41937869416216 0.000973236157418506 0.163733175435243
"ZNF391" 1.60373732013128 4.58422573561186 0.000995419805488531 0.163733175435243
"ASPSCR1" 1.5938558550436 6.40497341464622 0.000999479349580936 0.163733175435243
"AGXT2" 1.59050065885681 4.12306727709682 0.00100210111072952 0.163733175435243
"SH2B1" 1.61663843606971 2.13418282807177 0.00100540065790699 0.163733175435243
"ALKBH7" 1.59230131981105 5.41949731375576 0.00101487878566926 0.163943846417266
"RIPPLY3" 1.58130579134026 6.22027052309103 0.00107650029387008 0.172507019092093
"NCK2" 1.58937777666865 4.68164130652947 0.00111731049407667 0.17506171110603
"AGK" 1.56831072140272 5.63573289776687 0.00114215302888454 0.17506171110603
"ARHGEF25" 1.56839173647817 5.54685332987194 0.0011514203407444 0.17506171110603
"CD86" 1.57005808290359 5.47667444392808 0.00116372745910718 0.17506171110603
"KIR3DX1" 1.59628212345115 2.10001117240311 0.00116457266468138 0.17506171110603
"DMAP1" 1.80314196873665 -1.10953826937511 0.00117010592667047 0.17506171110603
"DZIP1L" 1.57180522380052 7.0257486484244 0.00117171514386462 0.17506171110603
"PUM1" 1.57046283667141 3.32336377112193 0.00117928272809078 0.17506171110603
"UBTFL1" 1.56811226557969 6.65069650885001 0.00119991008707656 0.17506171110603
"EMC8" 1.57325284959897 4.43735446914777 0.00120030414890298 0.17506171110603
"DBNDD2" 1.56088908678033 5.82830800563419 0.00120807375036118 0.17506171110603
"USP2" 1.57273417029735 3.08537640838367 0.0012164594504863 0.17506171110603
"FFAR2" 1.56377394912214 6.30607168624099 0.00122353714291344 0.17506171110603
"AC100821.1" 1.559111069039 3.47312742876081 0.00123030423254716 0.17506171110603
"ZP4" 1.56424460959034 6.53203664984592 0.00123117297143016 0.17506171110603
"SETDB1" 1.57596350257858 5.01123416226422 0.00123227503699018 0.17506171110603
"LRRK2" 1.55579356838765 5.62495136618429 0.00124581493751392 0.175738866291137
"PLD5" 1.57018640419956 5.07711025705736 0.00127014184529597 0.17753920127679
"EFHB" 1.55359800187747 5.91117778344571 0.00127630397802695 0.17753920127679
"GGA3" 1.55652010377809 7.27270447189064 0.00128955417978416 0.178145239829356
"CSTF1" 1.56780326030077 4.95645560417018 0.00130348007854287 0.178508905982921
"GGCT" 1.55258501864445 4.1843660547198 0.00131385414142583 0.178508905982921
"IFNL1" 1.56345412581577 5.054980173685 0.00133415049751134 0.178508905982921
"AGTR2" 1.54563053762753 5.83539846686224 0.00134295699073301 0.178508905982921
"GJA9" 1.60914694771892 0.840905181735755 0.00135927957058589 0.178508905982921
"EXTL3" 1.55751983812066 2.95960198447971 0.00136032015024502 0.178508905982921
"KPNA2" 1.54355737922425 5.78282378248938 0.00136067717838804 0.178508905982921
"OTOS" 1.54945197944238 7.09184177863098 0.00136347973717672 0.178508905982921
"PARP12" 1.55504801062749 4.80709500235619 0.00142333544203399 0.183081247735974
"TMEM95" 1.54282235038948 6.6157540672703 0.00142763104536351 0.183081247735974
"SRMS" 1.53662250836765 3.85366475129094 0.00143026133374632 0.183081247735974
"NAGK" 1.53587651181904 5.79595944598636 0.00143496360114562 0.183081247735974
"ARHGAP32" 1.54545164123214 5.23485387834958 0.00147025812717818 0.18635804015535
"CSDC2" 1.53035487075207 3.52802615105025 0.00148665660609541 0.18635804015535
"ADIPOR2" 1.53445846410941 4.18590318092799 0.00148855705780321 0.18635804015535
"IRAK3" 1.55477745181031 2.4473848175229 0.00150330813326016 0.187035808803319
"TBC1D22B" 1.53926459858344 5.24559445468861 0.00153113064990236 0.187579420544786
"MAP4" 1.64930680928386 -0.242403222646629 0.00154518459902581 0.187579420544786
"CDC14B" 1.52363426250272 5.75681247362614 0.0015591869600793 0.187579420544786
"CRNN" 1.53450142896648 4.43008208969676 0.00156229885358735 0.187579420544786
"FAM160B2" 1.52460017800861 6.03941535977702 0.00157175829016024 0.187579420544786
"LHFPL5" 1.52852327479774 4.27176322685083 0.00157657748709561 0.187579420544786
"AP3M2" 1.52144945834677 5.87494634454944 0.00158787996389057 0.187579420544786
"CENPQ" 1.5210530714963 5.88617644637972 0.00159339587029721 0.187579420544786
"SSRP1" 1.52600934001532 6.56795449809355 0.00160040922814578 0.187579420544786
"THBS3" 1.52725095945163 5.33881569436806 0.00162817121174045 0.187579420544786
"SPRED3" 1.52208491828506 6.33070888677439 0.0016310892036332 0.187579420544786
"RFX6" 1.53606675762657 2.69578155130746 0.00163972673530072 0.187579420544786
"NTRK1" 1.55899848702672 1.60015980573941 0.00163976474889007 0.187579420544786
"USP31" 1.5308388486593 2.9287762147062 0.00164849284484225 0.187579420544786
"CKAP2L" 1.54955264914447 1.94896704465192 0.00165161430890349 0.187579420544786
"SPIC" 1.518572309337 6.21558880589515 0.00165750873328476 0.187579420544786
"SRPX2" 1.51288405646405 6.20608788010847 0.00172156133712982 0.193733680584536
"AP5B1" 1.51191701117147 6.3094189779774 0.00174490732782263 0.195263903260419
"DLGAP4" 1.51478969398878 4.43714746597471 0.00178730123917867 0.196462593715824
"CD163" 1.52852955177098 2.28641548271541 0.0017891574133085 0.196462593715824
"CRMP1" 1.50866871183133 6.84148438579486 0.00180377877225669 0.196462593715824
"PPM1D" 1.5005115798484 5.60541907657608 0.00181868000185072 0.196462593715824
"EPX" 1.50109322443307 3.49038685366744 0.00182533416939902 0.196462593715824
"GOT2" 1.5016661558689 5.53700067518853 0.00182550911148348 0.196462593715824
"BAX" 1.52737588668555 2.28748281190754 0.00182762405765848 0.196462593715824
"MAEL" 1.50919107978122 3.13465728500216 0.00183501217843702 0.196462593715824
"KIFC3" 1.49881865967375 3.79432310297666 0.00184389035088488 0.196462593715824
"ATG4D" 1.49870422685446 6.04951489063593 0.00187470265464215 0.198688724207074
"SEZ6L2" 1.49600548012821 4.07433020563412 0.00191261579722881 0.20164003702258
"C14orf93" 1.49358448217165 5.52862533844921 0.00193253231010179 0.202673061275649
"SNRPB" 1.49704656848155 6.41877562445607 0.00194277483831085 0.202686056178149
"FKBP1C" 1.49971901371254 3.15499464411261 0.00195700751418497 0.203113044127664
"RAB21" 1.50622316215192 2.63700383765469 0.00201851299156852 0.208416668732521
"OR5AP2" 1.48496807525153 3.93642772032408 0.00204167178665468 0.209726807992205
"ANAPC16" 1.482866651275 3.88581624467058 0.00206432221138656 0.210966456922648
"ZZEF1" 1.48205737481164 5.89218965480801 0.00207480365502279 0.210966456922648
"GOLGA8F" 1.47996137756288 5.66862988910155 0.00209125795437257 0.211138245316413
"JMJD1C" 1.480394650819 8.04010917586351 0.00209757430073217 0.211138245316413
"CBX4" 1.48358135303105 6.33109123324947 0.00211355612016344 0.21168321321497
"HSPA6" 1.47992226831019 3.37660415050365 0.00214180597079596 0.212607139678237
"RP1-4G17.5" 1.48952340376264 5.22057895552761 0.0021440088969599 0.212607139678237
"SOX4" 1.47711244812391 5.46737502834712 0.00219579065134049 0.216669372103455
"KRT78" 1.4885865362631 4.82966627414632 0.00221955721421829 0.216674735021495
