"logFC" "logCPM" "PValue" "FDR"
"ZFP28" -1.44424826156131 7.43747619494958 0.00279239103087287 0.490652497714161
"LARP4" 1.62798388255521 -0.736224821357129 0.00288877330018453 0.50317406935649
"SLC25A28" -1.42155447205149 5.62058080664811 0.00299742667053557 0.517598738254294
"FOXD4L4" -1.43193228652353 3.47547725250846 0.00304551061479488 0.521407035256036
"TCEA3" 1.42331776957723 6.20561961403038 0.00315282146570189 0.533188439736373
"NLRP4" 1.41343351829411 5.80589313468263 0.00316756149611244 0.533188439736373
"COPS7B" -1.41769788982475 4.98710696051533 0.00320506431794736 0.535005361273363
"ACSF3" -1.42885981291682 4.22400407549206 0.00325634639150355 0.536646131183594
"SPIN2A" -1.40732841074593 5.25347869378023 0.0032684752635614 0.536646131183594
"UFD1L" -1.39961247381617 5.39509393225896 0.00340994779408588 0.551095644332834
"CBX3" -1.42444821553341 2.88176816074487 0.00345210712715987 0.551095644332834
"USP3" 1.50098076837146 0.169829860604294 0.00346479803474925 0.551095644332834
"MUC21" -1.41502850987545 4.78754734664272 0.00346652943866692 0.551095644332834
"FAM98A" -1.40313678588796 6.08592932229944 0.00351055707719956 0.553700541837672
"TMEM104" -1.42162396365576 2.72302424528787 0.00356679003856707 0.55817477548857
"TMEM225" -1.41386974292451 4.45495724533978 0.00369937212871293 0.574435062870145
"C5orf47" -1.40904104530141 4.60549007266564 0.00373914650442703 0.576144951001368
"SERPINA7" 1.38474819513593 5.84589415472127 0.00381376530853176 0.583156739658013
"OR6B1" -1.39286572075054 6.32311532128099 0.00385267844632186 0.584643954229342
"MAST1" 1.38145979184427 5.01185419966042 0.00402086094187393 0.602152512233119
"GDPD5" -1.37830625971825 5.08897042691548 0.00402817815582038 0.602152512233119
"RNF10" 1.37151711343355 5.5874772220007 0.00413703514290372 0.613844081092625
"RFX5" -1.38606492164895 3.0487770965036 0.00433986243917951 0.636220163755748
"PCBD1" 1.36677797601792 5.99333009326675 0.00435136350828903 0.636220163755748
"FSCN2" 1.36193465301588 5.23736249803074 0.00439047069825869 0.637222306984106
"SNRPG" 1.36376235660988 6.00333514123067 0.00444365760643735 0.637222306984106
"OTOP1" 1.37091627419944 7.01308405494454 0.00445365298675927 0.637222306984106
"LHCGR" -1.35919338096532 5.19363278126247 0.00448736390097479 0.637492101421462
"NCOA4" -1.39025934767712 2.11646003515864 0.00460855829531925 0.647062219952829
"CALM1" 1.35244813483014 5.43823430012281 0.00462975745800954 0.647062219952829
"RNASEH2B" 1.36398522146667 7.01808180301001 0.00465163794484586 0.647062219952829
"EEF1E1-BLOC1S5" 1.3593619570724 6.38401910020451 0.00477555641385182 0.653145992457176
"ANAPC10" 1.36325257524109 4.80395598573007 0.00479113420552717 0.653145992457176
"RP11-49K24.6" -1.36120250774285 4.84133004755008 0.00479378488399225 0.653145992457176
"ZIM2" -1.35834102112504 7.29064117280539 0.00482580035363497 0.653145992457176
"IDE" 1.36058015983621 3.33293643487928 0.00489031318950259 0.65743532549615
"DHX30" -1.34317439810171 5.14326074518026 0.00499605122683459 0.666079388621388
"CDC40" -1.36396773187148 2.65263517261522 0.00511588941016644 0.666079388621388
"PAIP1" -1.35004368967666 3.88848765846678 0.00516399459347819 0.666079388621388
"RP11-244H3.4" -1.34624493032003 3.57012859693933 0.00519025060799337 0.666079388621388
"FAM83C" -1.34479773998101 4.91181498338993 0.0052048817559278 0.666079388621388
"IGIP" -1.33369863535616 5.6445438073183 0.00525983407672024 0.666079388621388
"CBLL1" -1.35608204762562 2.81993752751354 0.00526664262031298 0.666079388621388
"RND2" -1.33341049946773 5.64700024469908 0.00526949498136873 0.666079388621388
"S100A4" 1.35006459325727 4.69980088347679 0.00531789627573934 0.666079388621388
"CMTM8" -1.33131954187759 5.59942296264073 0.00533132190641218 0.666079388621388
"PCDHGA7" 1.34337191347402 3.44721717172461 0.00537253641506966 0.666079388621388
"AQP7" -1.33244057029388 5.98972378813743 0.00539139957771741 0.666079388621388
"PPP2R5A" -1.33498312883522 6.10551570210193 0.00542123729676414 0.666079388621388
"TBX20" -1.32882453624041 5.8589748311218 0.00542923431174492 0.666079388621388
"GJB5" -1.32812132414873 5.86348808141077 0.00545339821945522 0.666079388621388
"ALS2CL" 1.33670992212485 4.77227213616158 0.00569570267675484 0.677967425670095
"PARD3" -1.35278156599122 2.19351944582504 0.00569643297085987 0.677967425670095
"USP53" 1.33145981510637 6.55530494596149 0.00570007735789512 0.677967425670095
"CASP7" 1.33809245384616 4.70976676206336 0.00571301352941857 0.677967425670095
"CSPG4" -1.3731805723616 1.23947030438865 0.00571995881075563 0.677967425670095
"NBPF11" 1.32438765950788 3.71431096380646 0.00596931490342788 0.696983230998096
"CPXM2" -1.33924152737494 2.44099400103821 0.00602616789745821 0.696983230998096
"TBC1D3C" 1.32825557295374 4.72803621673114 0.00604737495998031 0.696983230998096
"KRTAP20-3" -1.33470154198948 2.69232171529731 0.00607883515524617 0.696983230998096
"FSTL4" -1.30810707460056 5.42898260550496 0.00610070497896601 0.696983230998096
"KLHL33" -1.31970942021587 7.02951089264303 0.00611672310709888 0.696983230998096
"AC004813.1" -1.31836406313294 6.28087954877067 0.00612396029432704 0.696983230998096
"SLC6A9" -1.32061577703508 4.0669125180506 0.00629374182324116 0.712259561928495
"C20orf144" 1.30958823438491 6.96671953321361 0.00650937421816942 0.724114685949562
"ZKSCAN2" -1.32328202428664 2.68766524964492 0.00654695841727985 0.724114685949562
"S100A7" 1.30935082132256 3.73088029251629 0.0065525040402321 0.724114685949562
"HRCT1" -1.30104646661516 5.0408515293407 0.00657974015365859 0.724114685949562
"GATAD2A" 1.33911592252031 1.7377546210972 0.00662942694816848 0.724114685949562
"HSP90B1" -1.2950885467997 5.75580364971854 0.00668379568557332 0.724114685949562
"WBP4" -1.30531114983666 6.46556899410585 0.00668384668602798 0.724114685949562
"ARSK" -1.31593034794512 4.56919260612707 0.00668769491791069 0.724114685949562
"AP2S1" 1.30408257393209 4.86259469371411 0.00678146356331699 0.725306212180613
"KRTAP2-2" -1.30304876850544 4.83908608490925 0.00685718413351138 0.725306212180613
"IL6ST" 1.31893290829519 2.5691517424792 0.00685983380766461 0.725306212180613
"BEND3" -1.30535785013007 4.77536666614068 0.00687644680837006 0.725306212180613
"LRRC73" 1.45081031233305 -0.609805771992786 0.00687974541032981 0.725306212180613
"TRIM39-RPP21" 1.33317803893922 1.7571917267468 0.00695849585545399 0.726366840120491
"KCNE3" 1.32178787083514 2.16455411409178 0.00698574406135812 0.726366840120491
"KCTD20" 1.29349475821436 6.12644847060224 0.00702256476474098 0.726366840120491
"THAP6" 1.2973984235207 7.59901313788749 0.00703485432496507 0.726366840120491
"FRMD6" 1.28457303213933 5.77429681304991 0.00713225498305331 0.732647177259184
"ARPC5L" 1.29274060977763 6.86577303486328 0.00721047866814908 0.736903562253542
"WNT5A" -1.30172403680767 4.36382481242348 0.00728420399541597 0.737301032953224
"RETN" -1.29140525308942 7.73701087151316 0.00728798385126745 0.737301032953224
"RP3-369A17.6" 1.29677695437236 4.65477859037219 0.00740449602013626 0.740638427480069
"CHRFAM7A" 1.28717882164624 3.5535972994558 0.00748270495383695 0.740638427480069
"FAM153B" -1.29387436589564 4.23295122146177 0.00751758420060962 0.740638427480069
"UBA52" 1.29125974431475 3.26458966918902 0.00751859749679803 0.740638427480069
"CENPL" 1.28339314939725 6.45760303902495 0.00762997337370996 0.740638427480069
"KIAA1755" 1.27087459111118 5.3565286429994 0.00764030047322966 0.740638427480069
"RPL7L1" 1.27138945128539 5.42552426492859 0.00764303814904148 0.740638427480069
"TRPT1" 1.27538598667514 5.07177512554911 0.00765549616667263 0.740638427480069
"DHTKD1" 1.27856204003372 6.13532639746762 0.00769660075701292 0.740638427480069
"NPTXR" -1.27700597640859 6.08361101846516 0.00769686954375099 0.740638427480069
"CD151" -1.28678113666106 4.08322370133692 0.00772769364202159 0.740638427480069
"OR52I1" 1.29422787889884 2.81645201335624 0.0077703375998415 0.740756295460989
"RP11-322N21.2" 1.26975578861059 5.78672341267662 0.00780288444622179 0.740756295460989
"PRR4" 1.26785651965087 5.1605937813658 0.00793106814128643 0.744482190252705
"JAKMIP1" -1.2765726143563 6.49856317318172 0.00795044614208522 0.744482190252705
"MYDGF" -1.28599862318065 4.33273058554451 0.00796956871520426 0.744482190252705
"CXCL11" -1.27500877240743 6.37007862773962 0.00799079780861323 0.744482190252705
"TRMT11" 1.26119844063466 5.34109558146521 0.00809423986907968 0.747331365089216
"DAZ1" 1.26697106833206 5.04139860463835 0.00809599651661724 0.747331365089216
"CRABP2" -1.30459116741736 1.68087384174851 0.00814120156788397 0.748056920212312
"ZNF816" 1.27668462960437 4.2342911389197 0.00834220325497034 0.753410676694311
"DDX43" 1.28361343266131 2.65351150865464 0.00835569750589404 0.753410676694311
"MAPKAP1" 1.26667814440119 6.96033530104363 0.00842648213879507 0.753410676694311
"MFSD6" 1.28802537918824 2.27458581530729 0.00844861505418404 0.753410676694311
"TCTN2" 1.26566643329446 7.10230532235621 0.00847858581544775 0.753410676694311
"CDK6" 1.60571646472923 -1.78168349931058 0.00848881598017162 0.753410676694311
"ZNF235" 1.25371000402303 5.46890137569113 0.00852076584875497 0.753410676694311
"TBRG4" 1.26342601283165 6.27558367247828 0.00853342988899317 0.753410676694311
"LHFP" 1.25273277701172 5.30997271784501 0.00854138780798355 0.753410676694311
"MAMDC2" 1.27141551991141 4.20341486035748 0.00857558955051185 0.753410676694311
"SRSF3" -1.25283295003493 5.67128797681863 0.0086273100681048 0.754544256264672
"MYO1D" -1.25402601622267 5.10382239124738 0.00866383001052741 0.754544256264672
"LYSMD3" -1.26430698923925 3.97226815809167 0.00874490450904604 0.758308148141564
"PRPH" -1.25619916321932 3.61315522466905 0.00892281973711153 0.770400871353798
"EIF3F" 1.28652013790433 1.71029463317411 0.00898952391896343 0.772828985496809
"DVL2" 1.24277654133752 5.3976173981857 0.00906463059184767 0.775579994285054
"AZIN1" -1.24147044697518 5.4002961851487 0.00912891104043643 0.775579994285054
"mulberry" -1.29280370568691 1.27810684232034 0.00913768052774563 0.775579994285054
"ZNF699" 1.2665737837338 2.64876127638429 0.00920956899078028 0.778383444954935
"TRIM68" -1.24877540915709 6.31640695658139 0.00931686016916885 0.784142966590846
"ZNF705B" 1.23572862572764 5.33291073471905 0.00943004791807529 0.787353881159955
"ABCF2" -1.23750054984982 5.61085290127935 0.00944460943082709 0.787353881159955
"QKI" -1.24626510166369 3.60152392819655 0.00947293122457936 0.787353881159955
"MTRNR2L10" -1.24279799663647 6.13618235586867 0.00951865300709055 0.787884869359631
"ZNF695" -1.24151833949168 6.26746326335615 0.00970486860901757 0.795967711650055
"RPP40" 1.23477242690498 5.97459852369766 0.00972879465499144 0.795967711650055
"SSPN" 1.23056504965635 5.44928982332792 0.00977062438603232 0.795967711650055
"TIMM17A" 1.25218670014455 2.9768184205223 0.00977525121391411 0.795967711650055
"POLR3E" 1.2396778631539 6.4668941477012 0.00988962336861227 0.80097143073769
"CSNK2B" -1.23020058599594 5.94844318640152 0.00994774646256288 0.80097143073769
"AL008723.1" 1.2385456665706 6.55199762705861 0.0099566614873788 0.80097143073769
"P3H2" 1.23672667211997 3.57379247283878 0.0100718684790349 0.801020713073135
"OR4F21" 1.23512819554386 3.65940454497537 0.0101367275624459 0.801020713073135
"SNURF" 1.23506692315948 6.9986996499174 0.0101505907980823 0.801020713073135
"WDR4" 1.22331022221553 5.31943346520258 0.0101640975022046 0.801020713073135
"AP3M1" 1.29561638437881 0.555101350286236 0.0101771369021806 0.801020713073135
"CBLC" -1.24302915124067 2.98418776810891 0.0102323848596418 0.801020713073135
"APOC4-APOC2" -1.23722467387681 3.32738531008035 0.0102429570897291 0.801020713073135
"LINC00998" -1.2333980825511 7.74578748268841 0.0102771865238778 0.801020713073135
"SHMT1" 1.23274855174632 3.72199019925432 0.0103312562493091 0.80211392996089
"LRRC3" -1.22618209381189 6.07616857289316 0.0103944665150394 0.803905632288629
"RBM27" -1.28064352230849 0.654888973131567 0.0104853449484881 0.804139181280725
"TCP10L2" -1.24554774150341 2.35893221349789 0.0105483383744464 0.804139181280725
"DENND6A" 1.22446292131168 4.98126875628737 0.0105675286946913 0.804139181280725
"DUSP16" 1.22197718781496 6.03246093985759 0.0105848509235743 0.804139181280725
"UQCRC2" -1.23733241001177 4.33558204625982 0.010598209967456 0.804139181280725
"AKNAD1" -1.22999854786415 3.28331824222574 0.0107248897253279 0.806762507727954
"SCRN2" -1.22359700819493 4.93461889427778 0.0107279887028684 0.806762507727954
"OR14I1" 1.21483782202659 5.88363666706337 0.0108193419670741 0.806762507727954
"TPX2" 1.22328376594778 6.35050125590315 0.0108335491623109 0.806762507727954
"ZNF565" 1.21323886147831 5.26115761058038 0.0108500036949022 0.806762507727954
"CST9L" -1.233411123213 4.38506351276251 0.0108986320434115 0.806762507727954
"AK3" 1.2575307031309 1.44328815868049 0.010914714172746 0.806762507727954
"NOS2" 1.22932227278953 4.31897627160417 0.0110955211068827 0.817111703279289
"ARF3" 1.20691363413656 5.2653682554228 0.0112531166802989 0.824711556774588
"C19orf12" 1.21709717609552 7.2641405949261 0.0112810626806568 0.824711556774588
"CENPW" -1.22463082420627 4.57802052949909 0.0114160537992286 0.828269276202848
"ATP6V1G2" 1.22684133116937 2.81454270718648 0.0114518492781211 0.828269276202848
"DYNLL1" -1.20034068410409 5.30948079953798 0.011629955415998 0.828269276202848
"RP11-766F14.2" 1.20647152202133 6.07195153313367 0.0116543006568043 0.828269276202848
"PPP6R2" 1.20294877392596 5.94192798394736 0.0116599141811419 0.828269276202848
"ORC6" -1.20018251566075 5.46203478794041 0.0116748669651536 0.828269276202848
"OVOS2" -1.23246606914921 2.03155396975198 0.0117504194016692 0.828269276202848
"PRDX3" 1.20221915134849 5.07521594859176 0.0117963696843506 0.828269276202848
"KLHL12" 1.21539190827106 3.18361953523788 0.0118200083063627 0.828269276202848
"CACNG6" 1.19945974700529 5.91145240132407 0.0118420859656689 0.828269276202848
"CAB39" 1.20316159585945 6.05673166558694 0.0118521403405185 0.828269276202848
"INTS1" -1.19764008824106 5.47511435390116 0.0118555197411614 0.828269276202848
"BCL2" 1.22114763638428 2.784952646296 0.0118969656627853 0.828269276202848
"CHURC1" -1.20748109529218 6.89702009045985 0.0119086192175338 0.828269276202848
"MFNG" -1.20390355926741 4.92382913434481 0.0120524623389881 0.829839725337727
"ARF6" -1.20457281005605 6.37282486262584 0.0120744050165407 0.829839725337727
"HLA-DMA" -1.19666500086674 5.14323145218137 0.0120846646754785 0.829839725337727
"CT45A8" -1.193115257086 5.41274643568574 0.0121362178722172 0.829839725337727
"PRKAR2B" 1.21640927419616 4.49160859026383 0.0121383375529906 0.829839725337727
"peach" 1.21109606786848 4.21634549083506 0.0121822524375346 0.830009178830799
"MAST4" -1.20341138283974 4.85184975191557 0.0122881738303727 0.834175769938789
"MOGAT3" -1.19200880752333 5.682227851212 0.0123358912357869 0.834175769938789
"ATF6" 1.2007203028267 6.61694092646199 0.0123907132786119 0.834175769938789
"OARD1" 1.20622132586041 4.12913469211922 0.0124337631375894 0.834175769938789
"GCM2" 1.19001694522005 5.5767559055514 0.0124567377232242 0.834175769938789
"RHD" 1.19101632994799 5.13458754679135 0.0125071732511506 0.834175769938789
"GGCT" -1.20766635245531 4.58756907782892 0.0125564264347179 0.834175769938789
"ABCB1" 1.19727620792407 6.33329010551916 0.0125765604573668 0.834175769938789
"DRAM2" 1.20755293135499 2.84153740899167 0.0127750670612485 0.843077834630752
"AGPAT4" -1.19282094602583 6.19158391147575 0.0128304547927666 0.843077834630752
"ODC1" 1.19146629874666 6.19134884460565 0.0129349063568131 0.843077834630752
"MICA" -1.19129663256928 6.64648847648689 0.0130702441741898 0.843077834630752
"NSMCE3" -1.17852881203027 5.34303273873573 0.013159451683623 0.843077834630752
"C7orf77" -1.18862738727294 6.42444255154504 0.013250814816598 0.843077834630752
"ELMO1" -1.25244082234013 0.389092061732822 0.0133731007961325 0.843077834630752
